black blackness blacken	white
bury plunge steep engulf absorb swallow	
feel expect count appear depend see tone face front aspect seem spirit wait smell reckon look await looking bet	back
see heard learn listen try discover	
continuing stay uphold chronic retain remain extend cover preserve	discontinue
late lately recently	
burly gruff husky strapping beefy	
hardy weather fearless brave dauntless endure intrepid audacious	cowardly timid
immunity opposition resistance underground	
comprise live exist constitute equal represent be cost	differ
seagull gull	
ingest engage suck steep plunge draw assimilate engulf	emit
limousine limo	
vigor vigour vitality push zip	
rite ritual	
rise ascend ascending ascension	descend descending set
turnaround reverse setback reversal	affirmation
acquaintance impropriety liberty closeness intimacy	
fudge dodge hedge evade duck elude skirt parry	
print mark impress publish	
ethical honorable honourable	dishonorable
wager bet stakes play	
bargain deal buy steal	
afresh anew	
dazzled dazzle daze	
conference league	
shiner mouse	
breath hint breather	
flavor season flavour	
das coney	
legitimately lawfully	
trunk body consistency torso	
mortician undertaker	
curtsy bob	
chink clink tink tinkle	
memorize con learn memorise	
wear fag pall jade tiredness fatigue tire	refresh
worldly secular temporal	
paladin hoagie grinder hero sub bomber torpedo submarine	
magpie chatterbox	
beetroot beet	
fawn crawl cower huddle cringe grovel	
have own possess	
website situation site locate	
revenant recurring	
documented authenticate authenticated	
smack smooch spoon	
kit kite	
greed avarice	
mask disguise	
lad feller comrade companion fella colleague buster familiar boyfriend mate fellow chap bloke swain	
fry electrocute	
termination upshot effect event outcome consequence	
chichi swank chic smartness	
bobble blow clumsy bumbling spoil fumbling incompetent muff fumble bollocks bungling	
repay return rejoin reward refund	
soya soy soybean	
fudge manipulate control falsify fake cook	
mire involved mud mired	
scrabble doodle scribble	
succeeding future adjacent following	
increase growth gain addition	decrease
absent wanting lacking lack missing miss	have
boldness presume defy dare audacious	
hunter huntsman	
harmonize chord	
overturn override vacate blow inverse turnaround reverse rescind opposite overrule revoke annul repeal contrary	forward
handbag pocketbook bag purse	
ab abdominal	
honor watch observe mention maintain discovered keep find respect observed remark notice note detect	break disrespect
freak monstrosity monster	
penetrate hue soak riddle	
qualify characterize dependant certified dependent qualified dispose restrict specify	unqualified disqualify
pester bug badger tease	
grub chow eats mooch sponge chuck	
malted malt	
footpath pathway	
recital understand indication interpret read learn study take reading scan recitation version show	
publicity promotion package box	
biz game	
backward backwards back	ahead forward
traveller traveler	
posture position stance	
crone hag witch	
circumstance consideration condition retainer	
fisher fisherman	
lifetime biography lifespan life spirit animation	
resist dissent defy protest refuse jib reject stand	surrender
engineer mastermind orchestrate organize organise	
raise grow farm produce	
hustler floozy hooker	
prosecute follow engage pursue	
dada dad daddy pop pappa papa	
hurt pain anguish torture	
qualification reservation making	
fancier partisan enthusiast	
war warfare	peace
flaw blemish defect fault mar	
blood pull tear split rent snag	
sortie sally	
