black blackness blacken	white
bury plunge steep engulf absorb swallow immerse	
feel expect count appear depend see tone face front	back
see heard learn listen try discover hear	
continuing stay uphold chronic retain remain extend cover preserve	discontinue
late lately recently	
burly gruff husky strapping beefy hoarse	
hardy weather fearless brave dauntless endure intrepid audacious	cowardly timid
immunity opposition resistance underground	
comprise live exist constitute equal represent be cost follow	differ
seagull gull	
ingest engage suck steep plunge draw assimilate engulf absorb	emit
limousine limo	
vigor vigour vitality push zip energy	
rite ritual	
rise ascend ascending ascension ascent	descend descending set
turnaround reverse setback reversal blow	affirmation
acquaintance impropriety liberty closeness intimacy familiarity	
fudge dodge hedge evade duck elude skirt parry escape circumvent	
print mark impress publish	
ethical honorable honourable	dishonorable
wager bet stakes play stake	
bargain deal buy steal	
afresh anew	
dazzled dazzle daze	
conference league	
shiner mouse	
breath hint breather	
flavor season flavour	
das coney	
legitimately lawfully	
trunk body consistency torso	
mortician undertaker	
curtsy bob	
chink clink tink tinkle	
memorize con learn memorise	
wear fag pall jade tiredness fatigue tire weary weariness	refresh
worldly secular temporal	
paladin hoagie grinder hero sub bomber torpedo submarine champion wedge	
magpie chatterbox	
beetroot beet	
fawn crawl cower huddle cringe grovel creep	
have own possess	
website situation site locate place	
revenant recurring	
documented authenticate authenticated	
smack smooch spoon	
kit kite	
greed avarice	
mask disguise	
lad feller comrade companion fella colleague buster familiar boyfriend mate	
fry electrocute	
termination upshot effect event outcome consequence issue result	
chichi swank chic smartness	
bobble blow clumsy bumbling spoil fumbling incompetent muff fumble bollocks	
repay return rejoin reward refund retort	
soya soy soybean	
fudge manipulate control falsify fake cook rig	
mire involved mud mired muck	
scrabble doodle scribble	
succeeding future adjacent following next	
increase growth gain addition	decrease
absent wanting lacking lack missing miss deficient	have
boldness presume defy dare audacious daring	
hunter huntsman	
harmonize chord	
overturn override vacate blow inverse turnaround reverse rescind opposite	forward
handbag pocketbook bag purse wrinkle	
ab abdominal	
honor watch observe mention maintain discovered keep find	break disrespect
freak monstrosity monster	
penetrate hue soak riddle diffuse	
qualify characterize dependant certified dependent qualified dispose restrict	unqualified disqualify
pester bug badger tease	
grub chow eats mooch sponge chuck bum	
malted malt	
footpath pathway	
recital understand indication interpret read learn study take reading scan	
publicity promotion package box packaging	
biz game	
backward backwards back	ahead forward
traveller traveler	
posture position stance	
crone hag witch	
circumstance consideration condition retainer	
fisher fisherman	
lifetime biography lifespan life spirit animation living	
resist dissent defy protest refuse jib reject stand fend	surrender
engineer mastermind orchestrate organize organise direct	
raise grow farm produce	
hustler floozy hooker	
prosecute follow engage pursue pursuing	
dada dad daddy pop pappa papa pa	
hurt pain anguish torture torment	
qualification reservation making	
fancier partisan enthusiast	
war warfare	peace
flaw blemish defect fault mar desert	
blood pull tear split rent snag rake rip	
sortie sally	
frustrate shred crucify tabloid dun devil bait lecture jaw vex	
sharpshooter marksman	
dealership franchise	
ford crossing	
womanhood char woman	man
constitutional underlying inherent integral	
stargazer astronomer	
twin counterpart	
tiff bickering clap squabble applaud acclaim fuss spat bicker	boo
difficult hard	manageable easy
cant pitch diagonal sloping lean biased tilt tip colored weight	
fame celebrity renown	infamy
schoolmate classmate	
gilbert sarin	
assert insist	
differential derivative	
establish attest evidence march certify demonstrate prove demo show	disprove
grass crop browse range lea ley pasture graze forage	
elder senior older	
severance break rupture breach rift	
bark skin	
adopt embrace bosom embracing cover hug squeeze comprehend	
constitutional inherent entire integral intact	
pelt pepper	
title take claim call exact	forfeit
assess appraise judge value measure evaluate	
acquit expect suffer deport stand deliver brook contain endure	bull
semi semifinal	
gradient incline pitch side slope	
reliance confidence cartel rely combine hope bank trust	distrust mistrust
pass communicate transmit convey commune	
medieval gothic	
sufferer martyr	
engaged booked hold book reserve	
deem hold	
square squared feather	
legend caption subtitle	
nippy crisp frosty nipping snappy	
intimidate hold limit confine restrict bound throttle restrain keep	
bait twit card pester cod rally teased rag loosen ride	
caress fondle	
bow bowed defer bend crouch submit bowing stoop	
nuke microwave zap vaporize	
mingle unifying unify merge mix unite	divide
stick beat puzzle stunned astonished vex gravel pose astonish amazed	
sentiment persuasion thought opinion view	
lolly popsicle lollipop	
nix nada cypher zilch zero nothing cipher aught nil zippo	
farmer granger	
remedial therapeutic healing	
contagion infection transmission	
curate parson pastor minister rector	
scuffle scramble dogfight tussle shuffle hassle	
hushed placid quiet still smooth muted restrained subdued	noisy active
bed know screw fucking fuck hump bonk love bang screwing	
headfirst headlong	
aberration straining distortion torture twisting	
doll dolly	
ludicrous preposterous cockeyed ridiculous idiotic absurd nonsensical laughable	
forte speciality specialty strength	
thrall bondage slavery	
do rehearse pattern use apply commit exercise practice recitation drill	
award honor laurels honour laurel	dishonor
taper sharpened heighten sharpen point focus	soften dull flatten blur
pouch pocket sac sack	
chance probability	
adrift afloat aimless	
illness malady sickness	wellness
paladin hero combatant belligerent champion fighter	
lecture utter talks dialogue mouth talk babble blab spill talking	
bar block obstruct stuff freeze forget	unblock unfreeze remember free
look face lining front veneer present facing confront	avoid back
seagull gull	
jock athlete	
radio wireless tuner	wired
mystical secret mystic mysterious occult	
pagan heathen infidel gentile	
probe investigation examine	
sidewalk pavement	
foot infantry	
bivouac camp tent	
dozer bulldozer	
boarder lodger	
insolent bodacious impudent brazen audacious flip	
chore tax job undertaking labor task project	
drop drip dribble	
assign designate delegate doom intend specify fate indicate show point	
bar block stripe streak bars measure exclude barroom cake barricade	
enlargement expansion	contraction
particular extra special limited exceptional peculiar	
queasy sickening disgusting loathsome nauseous revolting skanky repellent yucky distasteful	
palace castle	
